date,ph,ec,tds,pss,c
02/19/2016 12:45:04,7.8748,55359.39063,29894.06836,36.697,24.50625
02/19/2016 12:50:05,7.8745,55365.69531,29897.47656,36.702,24.5
02/19/2016 12:55:06,7.8732,55350.01953,29889.00781,36.692,24.5
02/19/2016 13:00:07,7.8718,55388.70313,29909.89844,36.719,24.5
02/19/2016 13:05:08,7.872,55369.92969,29899.76172,36.704,24.475
02/19/2016 13:10:09,7.8729,55385.04297,29907.92188,36.717,24.45625
02/19/2016 13:15:10,7.8715,55350.28125,29889.15234,36.688,24.4375
02/19/2016 13:20:11,7.869,55384.05078,29907.38477,36.713,24.4375
02/19/2016 13:25:12,7.8691,55382.02344,29906.28906,36.713,24.4375
02/19/2016 13:30:13,7.8698,55369.14844,29899.33984,36.703,24.43125
02/19/2016 13:40:15,7.8694,55375.44531,29902.73828,36.707,24.38125
02/19/2016 13:50:17,7.8683,55458.92578,29947.81836,36.77,24.40625
02/19/2016 13:55:18,7.8653,55415.84766,29924.55859,36.738,24.425
02/19/2016 14:00:19,7.8662,55389.86719,29910.52734,36.718,24.43125
02/19/2016 14:05:20,7.8655,55443.82422,29939.66406,36.758,24.4375
02/19/2016 14:10:21,7.8637,55396.03516,29913.86133,36.724,24.4375
02/19/2016 14:15:27,7.864,55443.17969,29939.31445,36.759,24.4375
02/19/2016 14:20:23,7.8615,55438.81641,29936.96289,36.756,24.48125
02/19/2016 14:25:24,7.8605,55389.55859,29910.36328,36.719,24.49375
02/19/2016 14:30:25,7.858,55394.13672,29912.83203,36.723,24.5
02/19/2016 14:40:27,7.8566,55394.31641,29912.93164,36.722,24.5
02/19/2016 14:45:28,7.8543,55369.46094,29899.50781,36.704,24.525
02/19/2016 14:50:29,7.8551,55415.58594,29924.41602,36.739,24.55
02/19/2016 14:55:30,7.8509,55390.69531,29910.97266,36.721,24.55
02/19/2016 15:05:32,7.8508,55353.6875,29890.98828,36.693,24.5625
02/19/2016 15:15:34,7.8458,55406.41016,29919.46094,36.733,24.56875
02/19/2016 15:20:35,7.8441,55422.04297,29927.90039,36.745,24.60625
02/19/2016 15:25:36,7.8428,55431.10547,29932.79492,36.751,24.60625
02/19/2016 15:30:37,7.8404,55361.05859,29894.96875,36.7,24.625
02/19/2016 15:35:38,7.84,55357.30859,29892.94727,36.698,24.625
02/19/2016 15:40:49,7.8398,55411.82031,29922.38281,36.738,24.625
02/19/2016 15:45:40,7.8411,55390.04297,29910.62305,36.723,24.65625
02/19/2016 15:50:41,7.8405,55389.71484,29910.44531,36.723,24.68125
02/19/2016 15:55:42,7.8407,55416.32813,29924.8125,36.744,24.6875
02/19/2016 16:00:44,7.8404,55406.83984,29919.69336,36.735,24.6875
